Type1,Type2,Type3,Rooms,Bathroom,Car,Landsize,BuildingArea,Distance,YearBuilt,Price
1,0,0,5,2,2,900,192,16.1,1955,1000000
1,0,0,4,2,2,900,244,39,2005,670000
1,0,0,3,1,2,900,100,31.7,1980,480000
1,0,0,3,1,2,899,143,5.5,1960,2315000
1,0,0,3,2,2,898,142,16.5,1985,800000
1,0,0,2,1,2,897,66,11.7,1970,510000
1,0,0,4,3,2,896,215,15.5,1985,1635000
1,0,0,3,1,2,896,139,12.1,1965,1234000
1,0,0,2,1,1,896,77,7.8,1960,435000
1,0,0,2,1,1,896,77,7.8,1960,435000
1,0,0,1,1,1,896,65,8.8,2011,385000
1,0,0,5,3,2,895,423,11.2,1938,2730000
0,0,1,4,1,2,895,188,11.2,1940,1186000
1,0,0,4,1,2,894,115,21.3,1950,1090000
1,0,0,3,1,2,893,103,12,1940,780000
1,0,0,5,2,6,892,361,12,2004,1000000
1,0,0,5,2,2,891,177,17.2,1980,1300000
1,0,0,4,1,2,890,165,10.3,1970,1580000
1,0,0,5,3,4,890,203,12,1960,912000
1,0,0,3,1,0,889,135,4.6,1943,1435000
1,0,0,3,1,2,888,137,9.2,1950,2251000
1,0,0,3,1,2,888,165,11.2,1886,1500000
1,0,0,4,2,2,887,195,12.4,1970,1280000
1,0,0,3,2,2,887,150,13.4,1990,905000
1,0,0,2,1,1,887,76,7.2,1973,695500
1,0,0,5,4,2,886,520,9.2,2013,3250000
1,0,0,3,1,2,886,120,26.5,1960,696000
1,0,0,3,2,4,885,217,9.2,1910,2825000
1,0,0,4,2,2,883,300,15.5,2005,1450000
1,0,0,5,3,2,882,212,17.2,1970,1360000
1,0,0,2,1,1,882,74,6.4,1970,315000
1,0,0,4,2,2,880,225,23,1970,932000
1,0,0,4,2,2,879,235,21.8,1995,950000
1,0,0,4,3,2,878,306,14.3,1970,1600000
1,0,0,4,4,5,877,332,4.6,1923,5500000
1,0,0,3,2,4,877,146,7.8,1960,3400000
1,0,0,5,4,6,877,378,8,2005,2800000
1,0,0,2,1,1,876,62,2.7,1972,600000
1,0,0,3,2,2,875,123,13.8,1970,1211000
1,0,0,4,3,2,873,395,10.5,1992,1100000
1,0,0,3,1,1,872,136,10.3,1960,1601000
1,0,0,4,2,2,872,185,13.9,1970,1300000
1,0,0,4,2,3,871,322,10.3,1937,2600000
0,0,1,4,3,2,869,170,9.2,1950,1720000
1,0,0,4,2,6,869,264,41,2007,965000
1,0,0,2,1,1,869,74,6.3,1980,852000
1,0,0,4,2,2,868,217,9.2,1930,1800000
1,0,0,3,2,2,868,135,18,1980,810000
1,0,0,4,2,2,867,218,11.2,1950,1930000
1,0,0,4,1,5,866,157,6.8,1920,2500000
1,0,0,4,2,2,866,175,11.2,1960,1300000
1,0,0,4,3,8,865,374,8.7,2013,1900000
0,0,1,4,1,1,865,172,13.8,1960,730000
1,0,0,4,1,2,865,129.92,31.7,1980,427500
1,0,0,5,2,2,864,294,23,1980,1188000
1,0,0,4,2,2,864,228,23,2008,1120000
1,0,0,4,2,1,863,165,11.7,1940,1601000
1,0,0,3,2,1,863,180.56,31.4,1975,620000
1,0,0,3,2,4,862,179.3,11.7,1950,1590000
1,0,0,4,2,2,862,153,11.8,1970,1500000
1,0,0,3,2,1,862,162,26,1986,780000
1,0,0,3,1,1,862,97,26.5,1960,720000
1,0,0,3,1,1,862,135,8,1970,872000
1,0,0,3,2,1,862,209,3.1,1920,1500000
1,0,0,4,2,2,861,358,5.6,1983,2350000
1,0,0,4,3,2,861,274,8.2,1955,1610000
1,0,0,6,4,2,860,355,8,1930,2620000
1,0,0,3,1,1,860,160,8.9,1950,1575000
1,0,0,2,1,1,859,71,4.6,1960,612500
1,0,0,3,2,1,858,165,8,1938,1625000
1,0,0,3,1,1,858,136,10.6,1960,1220000
1,0,0,3,1,2,857,130,5.6,1941,1500000
1,0,0,5,3,3,857,285,23,2012,1180000
1,0,0,3,1,2,857,139,23,1960,858000
1,0,0,4,3,2,856,265,9.2,1920,3400000
1,0,0,2,1,6,856,105,7.5,1950,1980000
1,0,0,4,1,1,856,189,7.8,1970,1400000
1,0,0,4,2,3,855,197,13,1930,1860000
1,0,0,4,2,4,854,260,19.6,1995,810000
1,0,0,4,2,4,853,263,6.4,1930,2000000
1,0,0,4,2,3,851,287,5.2,1940,2230000
1,0,0,5,3,2,851,215,12.4,1975,1530000
1,0,0,6,3,1,850,254,27.7,1980,615000
1,0,0,3,2,2,848,158,6.2,1929,3600000
1,0,0,4,2,2,848,246,11.2,1975,2640000
1,0,0,4,3,2,848,214,7.9,1926,2360000
1,0,0,3,2,0,848,127,18,1979,805000
1,0,0,3,2,2,848,97,5.6,1970,800000
1,0,0,4,4,2,847,285,6.3,1935,3200000
1,0,0,4,2,2,847,315,13,1925,2120000
1,0,0,3,1,1,847,120,8.8,1965,1200000
1,0,0,3,2,2,847,143,14.7,1980,529000
1,0,0,3,1,2,846,180,10.3,1955,1816000
1,0,0,3,3,1,846,187,7.5,1940,1050000
1,0,0,4,2,2,846,174,34.1,1996,792500
1,0,0,4,2,2,846,160,28.8,1980,735000
1,0,0,4,1,4,845,411,9,2008,3400000
1,0,0,5,2,3,845,199,9.2,1980,1560000
1,0,0,1,1,1,845,59,7.9,1960,413000
1,0,0,5,3,2,844,203,7.7,1920,2361000
1,0,0,4,2,2,844,278,11,1940,1950000
0,0,1,4,2,2,843,181,11.4,1940,1020000
1,0,0,4,2,2,842,311,11.2,1990,3900000
1,0,0,5,3,2,842,200,9.2,1961,1875000
1,0,0,4,1,1,842,160,17.2,1950,1302000
1,0,0,4,2,1,842,135,21.3,1960,1175000
1,0,0,4,2,2,842,202,18,1980,1060000
1,0,0,3,1,9,841,124,10.2,1960,2100000
1,0,0,4,2,2,841,196,23,2016,820000
1,0,0,4,3,2,840,326,9.2,1930,2625000
1,0,0,5,2,2,840,244,6.8,1910,2550000
1,0,0,3,1,2,840,170,11.2,1950,2250000
1,0,0,6,4,4,840,547,27,2011,1850000
1,0,0,4,2,2,840,237,22.2,1980,1100000
1,0,0,3,1,2,840,137,16.1,1960,785000
1,0,0,3,1,4,840,125,17.9,1980,775500
1,0,0,3,2,2,840,161,17.9,1970,705000
1,0,0,5,3,2,839,247,9.1,1925,1740000
1,0,0,3,2,2,839,198,12.2,1970,1200000
1,0,0,3,2,1,839,116,16.7,1970,1070000
1,0,0,5,2,4,838,282,9,1910,2350000
1,0,0,2,1,1,838,70,7.5,1970,590000
1,0,0,5,2,4,837,267,11.2,1919,4802500
1,0,0,4,1,4,837,173,8.4,1930,1650000
1,0,0,4,1,2,837,156,13.9,1930,816000
1,0,0,3,1,2,837,130,26,1960,710000
1,0,0,2,1,1,837,80,7.2,1930,930000
1,0,0,4,3,2,836,284,11.2,1960,3695000
1,0,0,5,3,2,836,168,9.7,1970,3200000
1,0,0,4,1,2,836,173,7.3,1910,2258000
1,0,0,5,3,2,836,789,24.8,2001,1100000
1,0,0,3,1,1,836,106,13.5,1975,555000
1,0,0,2,2,1,836,112,17.9,2009,955000
1,0,0,3,1,2,835,118,38,1960,810000
1,0,0,3,2,2,834,168,12.1,1954,1370000
1,0,0,3,2,2,834,169,7.9,1950,1275000
1,0,0,3,1,3,834,143,14.6,1960,1224000
1,0,0,3,2,2,834,143,13.8,1975,920000
1,0,0,4,2,2,834,129,11.2,2017,767500
1,0,0,2,1,1,834,75,11.4,1967,410000
1,0,0,4,1,1,833,151,21.3,1960,1200000
1,0,0,2,1,2,833,107,9.2,1960,935000
1,0,0,2,1,1,831,80,9.3,1970,525500
1,0,0,5,4,2,830,520,9.2,2009,3860000
1,0,0,5,2,2,830,204,13.7,1901,3075000
1,0,0,4,2,2,830,315,9,1950,1660000
1,0,0,4,2,3,830,134,7.7,1920,1315000
1,0,0,4,2,1,830,200,24.7,1980,930000
1,0,0,3,2,0,830,135,21.1,1975,826000
1,0,0,5,3,2,827,344,4.6,1920,3750000
1,0,0,3,1,1,827,109,10.6,1952,1400000
1,0,0,3,1,1,827,100,13.9,1960,1030000
1,0,0,5,3,3,826,250,9,1955,1797000
1,0,0,3,1,1,826,101,11.2,1960,851000
1,0,0,2,1,1,826,99,2.6,1996,1226000
1,0,0,2,1,1,826,95,5.6,1960,820000
1,0,0,4,2,3,824,231,5.5,1920,2340000
1,0,0,3,1,3,824,189,8.2,1935,1848000
1,0,0,5,3,4,824,235,10.7,1930,1400000
1,0,0,4,2,2,822,145,4.5,1890,1625000
1,0,0,2,1,0,822,70,6.1,1930,650000
1,0,0,3,1,2,821,105,7.8,1925,2000000
1,0,0,3,1,1,821,106,9.9,1974,738000
1,0,0,5,2,5,820,300,5.3,1971,5510000
1,0,0,4,2,2,820,180,25,1975,780000
1,0,0,4,2,4,820,197,11.2,1965,750000
1,0,0,3,2,2,819,173,13.9,1970,1125000
1,0,0,3,2,3,818,193,10.1,2011,1400000
1,0,0,5,3,2,818,255,14.7,1985,1310000
1,0,0,3,2,1,817,130,11.4,1925,1716000
1,0,0,3,1,1,816,130,16.7,1965,1462000
1,0,0,4,2,2,816,243,18,1966,1065000
1,0,0,2,1,1,816,88,7.8,2007,610000
1,0,0,1,1,1,816,53,1.6,2000,452000
1,0,0,4,2,2,815,140,23,1960,760000
1,0,0,4,2,3,815,198,15.5,2000,705000
1,0,0,2,1,1,815,62,8.5,2008,591000
1,0,0,3,1,1,814,120,13.9,1965,1355000
1,0,0,4,2,2,813,276,5.4,1970,3015000
1,0,0,4,2,2,813,170,11.8,1938,2335000
1,0,0,4,2,2,813,163,7.8,1960,2228000
1,0,0,4,2,3,812,173,9,1927,2950000
1,0,0,3,1,2,812,113,4.5,1920,1600000
1,0,0,3,2,2,812,158,13.8,1960,1509000
1,0,0,3,2,2,812,129,18,1980,900000
1,0,0,3,1,3,812,117,10.5,1960,875000
1,0,0,3,1,2,811,152,8.2,1925,1535000
1,0,0,4,2,1,810,215,8.1,1915,2170000
1,0,0,3,2,3,810,114,28.5,1980,676000
1,0,0,5,4,4,809,165,6.4,1910,2840000
1,0,0,2,1,2,809,131,9.1,1980,1705000
1,0,0,3,2,2,809,188,15.5,1975,1350000
1,0,0,4,2,2,809,198,11.2,1950,1300000
1,0,0,3,2,2,808,159,11.2,1970,1755000
1,0,0,4,2,1,808,184,17.9,1980,732000
1,0,0,4,2,2,808,155,31.7,1970,535000
1,0,0,5,3,4,807,339,7.4,1920,3400000
1,0,0,5,3,2,807,377,15.5,2000,1930000
1,0,0,3,1,2,807,167,14.2,1970,1385000
1,0,0,3,1,4,807,117,14.2,1196,1200000
1,0,0,3,2,2,807,192,10.5,1950,994000
1,0,0,4,3,1,807,190,16.1,1975,900000
1,0,0,3,1,6,807,133,11.2,1975,718500
1,0,0,2,1,1,807,54,3.4,1970,452500
0,0,1,3,1,2,806,101,11,1950,1710000
1,0,0,4,2,2,806,170,13.9,1975,1468000
1,0,0,2,1,1,806,89,14.7,1965,778000
1,0,0,2,1,1,806,78,8.9,1960,550000
1,0,0,3,2,1,805,261,7.8,1930,2525000
1,0,0,4,1,1,805,170,11.8,1925,1920000
1,0,0,3,2,6,805,181,13.5,1995,750500
1,0,0,6,3,3,804,214,18,1980,855000
1,0,0,3,2,2,803,166,6.9,1915,1670000
1,0,0,2,1,2,803,95,12.2,1950,1495000
1,0,0,4,2,1,803,154,10.2,1965,1450000
1,0,0,4,2,2,803,152,12.2,1970,1100000
1,0,0,4,2,2,803,309,12.6,2002,1030000
1,0,0,5,4,4,802,206,9.2,2013,2825000
1,0,0,5,3,2,802,317,7.8,1994,2700000
1,0,0,3,1,2,802,105,23,1980,725000
1,0,0,3,1,4,802,183.97,15.5,1978,550000
1,0,0,4,2,3,801,180,21.3,1957,1270500
1,0,0,3,2,4,801,150,22.2,1980,800000
1,0,0,3,3,1,801,122,1.9,2008,1120000
0,0,1,5,4,2,800,490,5.6,2012,4515000
1,0,0,4,2,2,800,160,14.2,1970,1340000
1,0,0,4,2,3,800,163,16.7,1968,1171000
1,0,0,3,1,2,800,118,10.5,1960,950000
1,0,0,4,2,3,800,270,17.9,1985,757000
1,0,0,5,3,4,800,335,13.8,2006,750000
1,0,0,4,2,3,800,158,18.4,1990,680000
1,0,0,4,1,1,799,160,6.4,1910,1450000
1,0,0,3,1,2,799,174,13.8,1960,1002000
1,0,0,2,2,1,799,110,7.7,2012,932000
1,0,0,3,2,2,798,160,14.3,1978,1530000
1,0,0,3,1,2,798,132,13.9,1960,1362000
1,0,0,3,1,2,798,153,14.9,1960,922000
1,0,0,3,1,2,798,128,17.4,1985,520000
1,0,0,4,2,1,797,164,13.4,1960,1280000
1,0,0,4,2,2,797,180,11.2,1950,1185000
1,0,0,2,1,2,797,90,7.2,1920,720000
1,0,0,2,1,1,797,67,6.1,1970,400000
1,0,0,3,2,2,797,175,7.2,1997,1360000
1,0,0,4,2,2,796,276,9,2012,3145000
0,0,1,5,3,2,796,304,11.8,1975,1490000
1,0,0,3,1,1,796,104,13,1960,710000
1,0,0,5,2,2,795,297,9,1910,2900000
1,0,0,4,2,2,795,250,13,1928,2435000
1,0,0,3,2,2,795,146,18,1960,915000
1,0,0,2,1,1,795,80,7.2,2005,715000
1,0,0,6,3,2,794,283,7.7,1970,2835000
1,0,0,4,2,3,794,192,7.3,1950,2162000
1,0,0,3,1,1,794,134,13.8,1960,1210000
1,0,0,4,3,4,793,225,24.8,1980,875000
1,0,0,3,1,1,792,792,12.2,1950,1365000
1,0,0,4,3,2,792,233,18,1995,895000
1,0,0,3,2,2,792,148,23.2,1980,762000
1,0,0,4,2,2,792,180,35.2,1977,667000
1,0,0,3,1,2,792,101,35.2,1970,620000
1,0,0,4,3,2,791,230,18,1974,1054000
1,0,0,4,2,1,790,251,7.8,1890,3550000
1,0,0,5,2,2,790,291,16.7,1990,1660000
1,0,0,3,2,2,790,165,11.5,1940,815500
1,0,0,3,2,3,790,135,21.8,1980,815000
1,0,0,3,2,1,789,257,8,1890,1100000
1,0,0,5,3,2,789,290,16.1,1980,880000
1,0,0,4,2,2,789,169,16.1,1975,770000
1,0,0,3,2,2,788,108,14.7,1960,1000000
1,0,0,4,2,4,788,236,18,1995,700000
1,0,0,4,2,2,787,275,4.6,1930,4200000
1,0,0,4,3,2,787,282,5.9,1915,4050000
1,0,0,5,3,2,787,334,15.5,1990,1750000
1,0,0,3,1,2,787,115,10.2,1955,1575000
1,0,0,3,1,1,786,111,11.7,1950,1160000
1,0,0,5,2,1,786,295,13.3,1999,1000000
1,0,0,4,2,2,786,206,18,1980,890000
1,0,0,3,1,2,786,174,38,1960,755000
1,0,0,4,2,2,785,199,14.3,1980,1662000
1,0,0,5,3,3,785,252,16.1,1980,1328000
1,0,0,3,2,2,784,172,6.2,2007,1240000
1,0,0,3,2,2,784,160,14.6,1960,1090000
1,0,0,3,1,1,784,95,17.4,1978,370000
1,0,0,4,2,2,783,256,11.2,1920,2500000
1,0,0,5,2,4,783,223,11.5,1950,1100000
1,0,0,2,1,1,783,94,9.9,1950,810000
1,0,0,3,1,2,782,175,5.6,1920,2310000
1,0,0,4,2,2,782,212,8,1900,2230000
1,0,0,3,2,3,782,215,12.2,1950,1631000
1,0,0,3,1,1,782,102,16.7,1960,1310000
1,0,0,1,1,1,782,67,2.1,1998,580000
1,0,0,2,1,1,781,82,8.2,2013,420000
1,0,0,5,2,2,780,206,10.7,1950,2140000
1,0,0,3,1,3,780,152,11,1940,1655000
1,0,0,4,2,2,780,180,11,1938,1550000
1,0,0,4,2,2,780,235,13.1,1927,1461400
1,0,0,4,2,2,780,135,2.5,1900,1330000
1,0,0,4,2,3,780,217,13.8,1950,1155000
1,0,0,2,1,2,780,156,10.9,1950,1005000
1,0,0,4,2,2,780,179,11.5,1965,920000
1,0,0,3,1,3,780,140,13.9,1940,900000
1,0,0,3,1,2,780,120,13,1960,793000
1,0,0,3,2,2,780,180,13,1970,765500
1,0,0,4,2,2,779,264,11.2,2014,2860000
1,0,0,3,2,2,779,135,12.4,1970,1245000
1,0,0,4,2,2,779,185,15.5,1980,1150000
1,0,0,5,2,4,779,186,24.7,1970,895000
1,0,0,2,1,1,779,102,13.1,1950,830000
1,0,0,3,1,2,779,138,11.2,1950,731000
1,0,0,3,2,2,779,147,34.9,1988,552500
1,0,0,5,3,3,778,326,9.2,2000,3085000
1,0,0,3,2,1,778,154,9.2,1950,1500000
1,0,0,3,1,1,778,112,12.9,1960,822000
1,0,0,5,3,2,777,362,11.2,1925,2630000
1,0,0,3,2,1,777,154,7.8,1950,1690000
1,0,0,4,2,2,776,268,12.8,1980,1010000
1,0,0,4,2,2,775,155,9.2,1960,1950000
1,0,0,5,2,5,775,270,10.7,1920,1200000
1,0,0,4,2,2,774,185,8.4,1950,1265000
1,0,0,3,1,1,774,107,14.7,1950,1260500
1,0,0,3,1,2,774,132.6,17.2,1950,1101000
1,0,0,2,1,1,774,90,5.1,1945,854000
1,0,0,4,3,2,773,300,11.2,1900,2370000
1,0,0,5,2,5,773,275,10.3,1950,1650000
1,0,0,4,2,2,772,150,9.2,1955,2614000
1,0,0,4,1,4,772,145,7.8,1920,2015000
1,0,0,6,2,2,772,257,5.5,1992,2000000
1,0,0,2,1,4,772,120,21.5,1940,1270000
1,0,0,4,3,2,771,312,11.2,2000,2128000
1,0,0,4,2,2,771,196,15.5,1970,1450000
1,0,0,3,2,2,771,169,13.9,1960,1100000
1,0,0,4,2,2,771,160,35.4,1965,870000
1,0,0,4,2,2,771,255,20.6,2006,735000
1,0,0,2,1,1,771,82,8.1,1960,536000
1,0,0,3,1,1,771,104,6.7,2004,880000
1,0,0,4,2,2,770,160,13.8,1965,1209000
1,0,0,4,1,2,770,152,11.2,1970,730000
1,0,0,5,4,2,769,285,5.4,1940,3175000
1,0,0,3,2,1,769,196,11.2,1920,1837000
1,0,0,4,2,4,769,240,13.9,1970,1810000
1,0,0,3,1,1,769,133,7.8,1930,1780000
1,0,0,5,2,2,768,254,7.7,1990,2800000
1,0,0,6,3,4,768,285,7.8,1997,1455000
0,0,1,4,2,2,768,169,16.7,1970,1292000
1,0,0,3,1,2,768,122,18,1985,967500
1,0,0,4,2,4,768,194,13,1970,825000
1,0,0,3,1,2,767,111,8.4,1960,1176000
1,0,0,3,2,0,767,147,14.9,1960,860500
1,0,0,4,2,3,767,210,38,1980,680000
1,0,0,4,1,3,766,167,7,1968,1870000
1,0,0,4,2,2,766,192,12.2,1950,1240000
1,0,0,5,3,2,766,274,15.4,1970,1060000
1,0,0,2,1,1,766,100,19.9,1950,1040000
1,0,0,3,1,2,766,127,13,1965,806500
1,0,0,4,2,1,766,147,29.8,1980,355000
1,0,0,4,1,3,765,257,8,1880,2255000
1,0,0,7,4,2,765,146,10.4,1950,1642000
1,0,0,4,2,4,765,141,23.2,1975,705000
1,0,0,4,1,2,764,171,7.5,1940,2800000
1,0,0,4,2,2,764,265,11.2,1930,2360000
1,0,0,3,1,2,764,114,11.2,1925,1650000
1,0,0,3,1,1,764,175,13.9,1965,1391000
1,0,0,3,1,2,763,120,13.1,1945,4000000
1,0,0,3,1,1,763,180,11.2,1930,1700000
1,0,0,3,2,3,763,168,9.2,1960,1700000
0,0,1,3,1,3,763,93,11.5,1960,810000
1,0,0,3,1,2,762,153,9.2,1930,2800000
1,0,0,3,1,4,762,142,8.7,1950,1105000
1,0,0,2,1,2,762,98,14.9,1970,701000
1,0,0,4,2,2,761,255,6.3,1900,5100000
1,0,0,4,3,3,761,281,10.5,1970,950000
0,0,1,3,2,2,761,222,10.4,1980,750000
1,0,0,5,4,2,760,477,9.2,2015,3300000
1,0,0,4,3,3,760,325,13.7,1920,3200000
1,0,0,5,2,7,760,229,8.4,1935,1820000
1,0,0,3,1,1,760,120,12.2,1960,1305000
1,0,0,4,2,2,760,366,12.1,2000,1253000
1,0,0,2,1,1,760,58,4.1,1930,535000
1,0,0,1,1,0,760,70,1.2,2007,455000
1,0,0,3,1,2,759,151,10.7,1930,1355000
1,0,0,4,2,4,759,198,13.5,1975,705000
1,0,0,3,1,4,758,138,13,1960,1275000
1,0,0,5,3,3,757,240,7.5,1925,2500000
1,0,0,5,5,2,757,503,14.2,1975,2420000
1,0,0,4,2,2,757,130,10.7,1930,2310000
1,0,0,4,3,2,757,157,9.1,1950,1646000
1,0,0,5,2,2,757,335,12.4,1980,1600000
1,0,0,4,2,2,757,133,11.4,1930,1550000
1,0,0,4,1,3,757,150,13.4,1968,1375000
1,0,0,4,1,3,757,159,8.4,1960,1260000
1,0,0,3,1,1,757,125,15.4,1953,1218000
1,0,0,4,2,2,757,152,15.5,1980,590000
1,0,0,3,1,1,757,100,13.5,1950,571000
1,0,0,2,1,2,756,97,14.6,1950,1191000
1,0,0,4,2,2,756,236,20.6,2007,665000
1,0,0,4,2,2,756,222,20.6,2001,615000
1,0,0,5,5,2,755,444,11,2015,3510000
1,0,0,5,3,2,755,365,9.7,2009,2650000
1,0,0,3,1,1,755,95,13.1,1920,1170000
1,0,0,3,2,2,755,229,31.7,1996,605000
1,0,0,5,2,2,754,270,10.2,1905,2230000
1,0,0,3,2,2,754,177.8,4.6,1905,2080000
1,0,0,4,2,5,754,175,9.2,1960,1700000
1,0,0,3,1,4,754,131,31.7,1985,475000
1,0,0,4,3,2,753,399,11,2015,2650000
1,0,0,3,2,4,753,280,7.3,1937,2260000
1,0,0,3,1,1,753,118,9.2,1940,1530000
1,0,0,4,1,2,753,130,10.8,1960,1225000
1,0,0,4,2,2,753,204,8.4,2006,820000
1,0,0,3,2,2,753,170,8.4,2005,747000
1,0,0,3,2,2,752,278,7.9,1938,2380000
1,0,0,4,2,2,752,253,9.7,1981,2188000
1,0,0,4,2,2,752,162,16.7,1971,1157000
1,0,0,4,1,4,752,115,14,1960,706000
1,0,0,2,1,2,752,89,8,1990,595000
1,0,0,5,3,3,751,439,14.3,1980,1330000
1,0,0,3,2,2,751,175,13.8,1968,1010000
1,0,0,3,1,2,751,145,13,1972,885000
1,0,0,3,1,2,751,112,13.3,1960,600000
1,0,0,4,2,2,750,192,5.3,1910,2800000
1,0,0,4,2,2,750,214,9.2,1950,2205000
1,0,0,4,1,2,750,185,8.2,1960,1220000
1,0,0,4,2,2,750,222,14.8,2008,740000
